City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
123,Leningradskiy,RU,2022-03-30 21:16:21,69.3833,178.4167,-15.54,100,95,2.8
124,Avera,US,2022-03-30 21:16:21,33.194,-82.5271,85.51,37,66,16.13
125,Bagotville,AU,2022-03-30 21:16:22,-28.9833,153.4167,70.86,91,98,16.44
126,Opunake,NZ,2022-03-30 21:16:22,-39.4556,173.8583,71.85,81,6,4.41
127,Mollendo,PE,2022-03-30 21:16:22,-17.0231,-72.0147,70.63,72,18,8.63
128,Khatanga,RU,2022-03-30 21:16:23,71.9667,102.5,12.13,96,100,6.08
129,Sambava,MG,2022-03-30 21:16:23,-14.2667,50.1667,75.45,89,55,7.09
130,Kavieng,PG,2022-03-30 21:16:23,-2.5744,150.7967,82.27,79,100,10.78
131,Sao Jose Da Coroa Grande,BR,2022-03-30 21:16:24,-8.8978,-35.1478,79.68,78,96,6.35
132,Hovd,MN,2022-03-30 21:16:24,48.0056,91.6419,24.84,34,0,7.96
133,Nabire,ID,2022-03-30 21:16:24,-3.3667,135.4833,74.59,92,100,5.28
134,Husavik,IS,2022-03-30 21:16:25,66.0449,-17.3389,29.03,75,100,4.47
135,General Teran,MX,2022-03-30 21:16:25,25.2667,-99.6833,94.89,10,0,9.31
136,Nyurba,RU,2022-03-30 21:16:27,63.2842,118.3319,-6.2,100,93,2.66
137,Zheshart,RU,2022-03-30 21:16:27,62.0731,49.5733,10.96,96,95,5.06
138,Kodiak,US,2022-03-30 21:16:27,57.79,-152.4072,38.71,93,100,9.22
139,Berlevag,NO,2022-03-30 21:16:28,70.8578,29.0864,26.55,80,75,25.32
140,Saint-Joseph,RE,2022-03-30 21:16:28,-21.3667,55.6167,77.38,82,78,20.85
141,Arlit,NE,2022-03-30 21:16:28,18.7369,7.3853,78.15,3,12,4.07
142,Port Blair,IN,2022-03-30 21:13:28,11.6667,92.75,80.44,76,6,4.12
143,Nhulunbuy,AU,2022-03-30 21:16:29,-12.2333,136.7667,74.01,94,9,0.0
144,Hasaki,JP,2022-03-30 21:16:29,35.7333,140.8333,54.0,89,6,17.27
145,Hami,CN,2022-03-30 21:16:30,42.8,93.45,42.78,35,5,12.82
146,Ketchikan,US,2022-03-30 21:16:30,55.3422,-131.6461,45.07,76,75,14.97
147,Uvinza,TZ,2022-03-30 21:16:30,-5.1036,30.3911,66.61,97,100,2.3
148,Tilichiki,RU,2022-03-30 21:16:31,60.4667,166.1,8.29,83,100,9.22
149,Ngunguru,NZ,2022-03-30 21:16:31,-35.6167,174.5,67.46,72,4,3.13
150,Ribeira Grande,PT,2022-03-30 21:16:31,38.5167,-28.7,62.53,87,100,2.98
151,Fos-Sur-Mer,FR,2022-03-30 21:13:18,43.4377,4.9446,54.84,87,0,3.44
152,Narsaq,GL,2022-03-30 21:16:32,60.9167,-46.05,50.22,76,57,3.76
153,Horconcitos,PA,2022-03-30 21:16:32,8.4682,-81.8007,79.05,61,78,4.61
154,Hauterive,FR,2022-03-30 21:16:33,46.0901,3.4459,49.75,92,98,0.49
155,Babushkin,RU,2022-03-30 21:16:33,51.7122,105.8647,13.37,87,38,3.58
156,La Ronge,CA,2022-03-30 21:16:33,55.1001,-105.2842,48.42,29,40,10.36
157,Trairi,BR,2022-03-30 21:16:34,-3.2778,-39.2689,79.99,78,100,7.65
158,Parsabad,IR,2022-03-30 21:16:34,39.6482,47.9174,52.12,76,0,11.5
159,Kahului,US,2022-03-30 21:14:28,20.8947,-156.47,82.42,64,40,19.57
160,Adrar,MR,2022-03-30 21:16:36,20.5022,-10.0711,77.11,20,100,10.96
161,Alihe,CN,2022-03-30 21:16:36,50.5667,123.7167,13.5,83,12,3.69
162,Olafsvik,IS,2022-03-30 21:16:36,64.8945,-23.7142,37.2,76,87,7.31
163,Asau,RO,2022-03-30 21:16:37,46.4333,26.4,54.95,38,100,4.0
164,Dikson,RU,2022-03-30 21:16:37,73.5069,80.5464,16.83,95,100,7.25
165,Whitehorse,CA,2022-03-30 21:15:18,60.7161,-135.0538,41.09,65,75,10.36
166,Verkhnyaya Inta,RU,2022-03-30 21:16:38,65.9811,60.3094,3.83,97,100,5.44
167,Shuangcheng,CN,2022-03-30 21:16:38,45.35,126.2833,22.68,47,8,7.34
168,Isangel,VU,2022-03-30 21:16:38,-19.55,169.2667,84.31,79,35,3.44
169,Port Lincoln,AU,2022-03-30 21:16:39,-34.7333,135.8667,61.32,63,100,17.9
170,Miragoane,HT,2022-03-30 21:16:39,18.4423,-73.0876,80.71,66,41,4.18
171,Oranjestad,AW,2022-03-30 21:16:39,12.524,-70.027,82.35,69,40,24.16
172,Kalur Kot,PK,2022-03-30 21:16:40,32.1564,71.2594,76.57,15,0,4.09
173,Katsuura,JP,2022-03-30 21:16:40,35.1333,140.3,59.29,91,63,16.8
174,Dehui,CN,2022-03-30 21:16:40,44.5333,125.7,29.28,44,0,6.26
175,Takhtamukay,RU,2022-03-30 21:16:41,44.9215,38.9958,53.91,61,0,11.18
176,Pozo Colorado,PY,2022-03-30 21:16:41,-23.4923,-58.7972,61.88,67,100,14.9
177,Timizart,DZ,2022-03-30 21:16:42,36.8,4.2667,53.02,92,100,3.6
178,Luwuk,ID,2022-03-30 21:16:42,-0.9516,122.7875,77.0,84,99,3.04
179,Camacha,PT,2022-03-30 21:16:42,33.0833,-16.3333,56.62,82,40,12.66
180,Leh,IN,2022-03-30 21:16:43,34.1667,77.5833,20.55,50,10,4.97
181,Mizoch,UA,2022-03-30 21:16:43,50.4,26.15,43.23,85,100,4.54
182,San Patricio,US,2022-03-30 21:16:44,28.017,-97.5169,93.29,13,0,21.39
183,Castro,BR,2022-03-30 21:16:44,-24.7911,-50.0119,68.16,87,42,7.38
184,Vilcun,CL,2022-03-30 21:16:44,-38.65,-72.2333,59.74,33,11,8.05
185,Novooleksiyivka,UA,2022-03-30 21:16:45,46.2269,34.6428,47.35,79,36,14.18
186,Akureyri,IS,2022-03-30 21:16:45,65.6835,-18.0878,30.13,74,75,0.0
187,Peleduy,RU,2022-03-30 21:16:45,59.6289,112.7406,17.37,97,100,5.59
188,Meulaboh,ID,2022-03-30 21:16:46,4.1363,96.1285,75.81,88,79,3.44
189,Hofn,IS,2022-03-30 21:16:46,64.2539,-15.2082,33.82,84,100,1.66
190,Firozpur,IN,2022-03-30 21:16:46,30.9167,74.6,71.94,13,0,4.74
191,Santo Amaro,BR,2022-03-30 21:16:47,-12.5467,-38.7119,79.2,78,80,7.25
192,Sao Filipe,CV,2022-03-30 21:16:47,14.8961,-24.4956,72.36,74,13,13.94
193,Port Macquarie,AU,2022-03-30 21:16:47,-31.4333,152.9167,68.9,82,100,20.45
194,Ulladulla,AU,2022-03-30 21:16:48,-35.35,150.4667,62.06,79,71,14.99
195,Fort Nelson,CA,2022-03-30 21:15:14,58.8053,-122.7002,33.24,100,100,1.28
196,Whakatane,NZ,2022-03-30 21:16:48,-37.9585,176.9854,70.65,77,2,5.01
197,Sao Joao Da Barra,BR,2022-03-30 21:16:48,-21.6403,-41.0511,82.49,84,4,13.94
198,Sur,OM,2022-03-30 21:16:49,22.5667,59.5289,80.91,43,0,5.48
199,Chapais,CA,2022-03-30 21:16:49,49.7834,-74.8492,29.98,76,100,5.37
200,Yajalon,MX,2022-03-30 21:16:49,17.2333,-92.3333,85.82,31,49,4.94
201,Cherskiy,RU,2022-03-30 21:16:50,68.75,161.3,-10.53,97,97,3.38
202,Ponta Do Sol,PT,2022-03-30 21:16:50,32.6667,-17.1,63.72,74,7,2.48
203,Tual,ID,2022-03-30 21:16:50,-5.6667,132.75,78.37,86,100,8.63
204,East London,ZA,2022-03-30 21:16:51,-33.0153,27.9116,70.92,87,100,8.28
205,Codrington,AU,2022-03-30 21:16:51,-38.2667,141.9667,57.87,66,85,20.83
206,Ancud,CL,2022-03-30 21:16:52,-41.8697,-73.8203,51.22,62,45,3.87
207,Kamaishi,JP,2022-03-30 21:16:52,39.2667,141.8833,43.56,96,100,10.2
208,Solnechnyy,RU,2022-03-30 21:16:52,50.7214,136.6319,16.11,89,100,3.18
209,Iisalmi,FI,2022-03-30 21:16:53,63.5592,27.1907,22.35,95,100,5.66
210,Nola,IT,2022-03-30 21:16:53,40.922,14.5329,63.37,99,100,5.17
211,Petropavlovsk-Kamchatskiy,RU,2022-03-30 21:16:53,53.0452,158.6483,28.99,86,100,4.47
212,Dicabisagan,PH,2022-03-30 21:16:54,17.0818,122.4157,75.67,90,58,1.12
213,Urrao,CO,2022-03-30 21:16:54,6.3152,-76.1342,64.47,88,100,2.66
214,Ilulissat,GL,2022-03-30 21:16:54,69.2167,-51.1,21.22,93,75,3.44
215,Gornyy,RU,2022-03-30 21:16:55,55.1153,83.9059,31.33,88,100,15.88
216,Ahuimanu,US,2022-03-30 21:16:55,21.4447,-157.8378,83.91,69,40,16.11
217,Taltal,CL,2022-03-30 21:16:56,-25.4,-70.4833,65.84,71,24,2.84
218,Remontnoye,RU,2022-03-30 21:16:56,46.5614,43.6501,50.23,63,96,9.15
219,Novaya Chigla,RU,2022-03-30 21:16:56,51.2233,40.4781,37.58,97,100,6.58
220,Ternate,ID,2022-03-30 21:16:57,0.8,127.4,79.77,78,98,7.23
221,Faya,SA,2022-03-30 21:16:57,18.3851,42.4509,60.91,45,0,4.47
222,Saint-Maximin-La-Sainte-Baume,FR,2022-03-30 21:16:57,43.4521,5.8622,51.46,92,100,3.76
223,Ostrovnoy,RU,2022-03-30 21:16:58,68.0531,39.5131,13.87,90,100,1.05
224,Aksu,CN,2022-03-30 21:16:58,41.1231,80.2644,48.56,41,1,5.28
225,Alta Floresta,BR,2022-03-30 21:16:58,-9.8756,-56.0861,82.22,74,20,5.75
226,Tamandare,BR,2022-03-30 21:16:59,-8.7597,-35.1047,79.41,79,88,5.73
227,Ruteng,ID,2022-03-30 21:16:59,-8.6136,120.4721,61.29,92,75,1.03
228,Marawi,PH,2022-03-30 21:16:59,7.9986,124.2928,67.32,91,30,1.77
229,Yukamenskoye,RU,2022-03-30 21:17:00,57.8865,52.2416,5.97,95,16,5.93
230,Kruisfontein,ZA,2022-03-30 21:17:00,-34.0033,24.7314,57.88,84,84,2.62
231,Vredendal,ZA,2022-03-30 21:17:00,-31.6683,18.5012,62.73,68,100,9.19
232,Saint George,US,2022-03-30 21:13:49,37.1041,-113.5841,72.63,29,0,12.66
233,Acarau,BR,2022-03-30 21:17:01,-2.8856,-40.12,80.15,81,94,10.45
234,Broome,US,2022-03-30 21:17:01,42.2506,-75.833,42.44,49,100,9.22
235,Ust-Nera,RU,2022-03-30 21:17:02,64.5667,143.2,-12.21,99,94,1.86
236,Plettenberg Bay,ZA,2022-03-30 21:17:02,-34.0527,23.3716,62.78,75,100,5.06
237,Padang,ID,2022-03-30 21:17:02,-0.9492,100.3543,75.25,85,92,4.38
238,Sorland,NO,2022-03-30 21:17:03,67.667,12.6934,33.62,62,100,23.06
239,Severo-Kurilsk,RU,2022-03-30 21:17:03,50.6789,156.125,28.74,79,51,9.17
240,Shakawe,BW,2022-03-30 21:17:04,-18.3667,21.85,68.52,89,100,4.16
241,Tuktoyaktuk,CA,2022-03-30 21:17:04,69.4541,-133.0374,-14.8,70,75,9.22
242,Tra Vinh,VN,2022-03-30 21:17:04,9.9347,106.3453,78.31,86,100,5.28
243,Chicama,PE,2022-03-30 21:17:05,-7.8447,-79.1469,68.54,63,58,9.75
244,Saint-Augustin,CA,2022-03-30 21:17:05,51.226,-58.6502,37.26,83,100,21.09
245,Monrovia,LR,2022-03-30 21:15:12,6.3005,-10.7969,80.37,86,78,7.25
246,Talnakh,RU,2022-03-30 21:17:05,69.4865,88.3972,27.21,88,100,9.86
247,Ambon,ID,2022-03-30 21:17:06,-3.6954,128.1814,73.54,100,40,1.14
248,Auki,SB,2022-03-30 21:17:06,-8.7676,160.7034,80.83,78,94,2.89
249,Mahebourg,MU,2022-03-30 21:17:06,-20.4081,57.7,76.24,88,75,18.41
250,Clyde River,CA,2022-03-30 21:17:07,70.4692,-68.5914,7.03,85,100,12.66
251,Omsukchan,RU,2022-03-30 21:17:07,62.5333,155.8,1.38,96,100,5.03
252,Comodoro Rivadavia,AR,2022-03-30 21:17:08,-45.8667,-67.5,55.26,44,0,11.5
253,Yokadouma,CM,2022-03-30 21:17:08,3.5167,15.05,81.28,46,81,2.73
254,Vicosa Do Ceara,BR,2022-03-30 21:17:08,-3.5622,-41.0922,69.51,93,83,2.71
255,Inhambane,MZ,2022-03-30 21:17:09,-23.865,35.3833,74.32,83,0,7.67
256,Namatanai,PG,2022-03-30 21:17:09,-3.6667,152.4333,80.96,80,50,5.39
257,Altay,CN,2022-03-30 21:17:09,47.8667,88.1167,18.99,57,9,8.41
258,Maltahohe,NA,2022-03-30 21:17:10,-24.8333,16.9833,71.19,54,43,5.73
259,Gulmarg,IN,2022-03-30 21:17:10,34.049,74.3921,42.67,32,0,2.19
260,Petatlan,MX,2022-03-30 21:17:10,17.5167,-101.2667,84.0,37,99,8.5
261,Puerto Narino,CO,2022-03-30 21:15:23,-3.7703,-70.3831,80.46,72,90,2.86
262,Neuquen,AR,2022-03-30 21:17:11,-38.9516,-68.0591,62.49,23,0,8.05
263,Kyzyl-Suu,KG,2022-03-30 21:17:11,42.3414,78.0056,31.42,49,0,6.67
264,Pevek,RU,2022-03-30 21:17:11,69.7008,170.3133,-15.86,96,100,2.59
265,Bintulu,MY,2022-03-30 21:17:12,3.1667,113.0333,79.21,94,40,3.44
266,Mogadishu,SO,2022-03-30 21:17:12,2.0371,45.3438,80.91,83,64,18.99
267,Pangody,RU,2022-03-30 21:17:13,65.85,74.4859,27.39,97,100,11.39
268,Pemba,MZ,2022-03-30 21:17:13,-12.974,40.5178,77.7,94,40,3.44
269,Bay City,US,2022-03-30 21:14:20,43.5945,-83.8889,46.42,92,100,8.05
270,Ishigaki,JP,2022-03-30 21:17:14,24.3448,124.1572,69.93,100,75,2.3
271,Seydi,TM,2022-03-30 21:17:14,39.4816,62.9137,53.04,26,0,6.53
272,Frederikshavn,DK,2022-03-30 21:17:15,57.4407,10.5366,33.84,40,0,8.1
273,Sirohi,IN,2022-03-30 21:17:15,24.8833,72.8667,78.03,20,0,5.32
274,Torbay,CA,2022-03-30 21:17:15,47.6666,-52.7314,33.58,85,75,18.41
275,Sisimiut,GL,2022-03-30 21:17:16,66.9395,-53.6735,16.03,94,45,5.93
276,Sakaiminato,JP,2022-03-30 21:17:16,35.55,133.2333,58.98,94,75,2.3
277,Roma,US,2022-03-30 21:17:17,43.2128,-75.4557,40.95,43,100,9.22
278,Gayny,RU,2022-03-30 21:17:17,60.3071,54.3241,12.18,93,43,7.14
279,Markova,UA,2022-03-30 21:17:18,48.6758,24.4138,45.95,83,100,4.18
280,Honningsvag,NO,2022-03-30 21:17:19,70.9821,25.9704,29.95,64,75,21.85
281,Bengkulu,ID,2022-03-30 21:17:19,-3.8004,102.2655,75.2,86,50,6.51
282,Melo,UY,2022-03-30 21:17:20,-32.3667,-54.1833,58.06,48,26,12.8
283,Mangrol,IN,2022-03-30 21:17:20,21.1167,70.1167,76.24,83,5,6.82
284,Margate,GB,2022-03-30 21:16:16,51.3813,1.3862,41.7,88,100,11.99
285,Yaan,NG,2022-03-30 21:17:21,7.3833,8.5667,90.37,27,99,0.45
286,Ferrol,ES,2022-03-30 21:13:25,43.4832,-8.2369,53.67,81,87,1.77
287,Bathsheba,BB,2022-03-30 21:17:21,13.2167,-59.5167,81.21,65,75,21.85
288,San Cristobal,VE,2022-03-30 21:17:22,7.7669,-72.225,77.18,43,99,3.78
289,Waddan,LY,2022-03-30 21:17:22,29.1614,16.139,75.97,11,1,10.89
290,Tigzirt,DZ,2022-03-30 21:17:23,36.8886,4.1198,56.68,89,100,5.26
291,Kupang,ID,2022-03-30 21:17:23,-10.1667,123.5833,76.23,85,77,3.91
292,Rio Grande,BR,2022-03-30 21:17:23,-32.035,-52.0986,64.51,37,79,18.25
293,Jintur,IN,2022-03-30 21:17:24,19.6167,76.7,83.46,14,5,8.46
294,Moba,CN,2022-03-30 21:17:24,33.2288,105.0179,39.52,80,100,5.32
