City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
571,Moindou,NC,84.0,broken clouds,-21.6924,165.677,Equi-lodge de Moindou
572,Tungi,BD,78.8,haze,23.89,90.4058,Grand Dhaka Hotel
576,Puerto Gaitan,CO,86.58,overcast clouds,4.3133,-72.0816,Brisas del Yucao
579,Chirongui,YT,80.53,moderate rain,-12.9319,45.1483,La Villa Mahatsara
586,Pyinmana,MM,81.1,few clouds,19.7333,96.2167,Anh Mai Daung
593,Iralaya,HN,79.36,clear sky,15.0,-83.2333,Iglesia morava renovada
599,Sonamura,IN,78.8,scattered clouds,23.4719,91.2664,Sorojini Guest House
602,Gemena,CD,74.86,few clouds,3.25,19.7667,Hôtel Goshen
604,Kulhudhuffushi,MV,83.14,broken clouds,6.6221,73.07,Haajy Guest House 1
605,Weligama,LK,77.02,scattered clouds,5.9667,80.4167,Weligama Bay Resort
606,Praxedis Guerrero,MX,70.65,scattered clouds,31.3667,-106.0167,Congregación placitas de Otero
613,Marawi,PH,75.0,overcast clouds,7.9986,124.2928,Derogongan Residence
614,Inirida,CO,76.73,broken clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
618,Coffs Harbour,AU,75.16,clear sky,-30.3,153.1333,Aquajet Motel
623,Richmond,US,70.07,broken clouds,37.5538,-77.4603,"Holiday Inn Express Richmond - Downtown, an IHG Hotel"
626,Myitkyina,MM,75.07,clear sky,25.3833,97.4,Shwe Phyu Hotel
627,Praia,CV,70.34,clear sky,14.9215,-23.5087,LT Aparthotel
631,Puri,IN,82.92,broken clouds,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
632,Gizo,SB,85.05,overcast clouds,-8.103,156.8419,Imagination Island
634,Hervey Bay,AU,78.03,broken clouds,-25.2986,152.8535,Shelly Bay Resort
639,Ambon,ID,91.54,few clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
640,Poso,ID,83.25,overcast clouds,-1.3959,120.7524,Hotel 77 Poso
642,Santiago,CL,70.99,clear sky,-33.4569,-70.6483,Hotel Panamericano
644,Ambilobe,MG,73.08,overcast clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
646,Djambala,CG,71.65,overcast clouds,-2.5447,14.7533,Hotel Ravin D'or
650,Petrolina,BR,77.05,light rain,-9.3986,-40.5008,JB Hotel
651,Lazaro Cardenas,MX,74.73,overcast clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
